ClimaticRecordBean(id=249180010, name=PSZCZYNA, year=2019, month=01, day=18, tmpMax=.7, tmpMaxStatus=, tmpMin=.0, tmpMinStatus=8, tmpAvg=.0, tmpAvgStatus=8, tmpOfGroundMin=6.7, tmpOfGroundMinStatus=, totalPrecipitation=null, totalPrecipitationStatus=null, kindOfPrecipitation=null, snowLayerHeight=null)
ClimaticRecordBean(id=249180010, name=PSZCZYNA, year=2019, month=01, day=19, tmpMax=-5.0, tmpMaxStatus=, tmpMin=.0, tmpMinStatus=8, tmpAvg=.0, tmpAvgStatus=8, tmpOfGroundMin=4.7, tmpOfGroundMinStatus=, totalPrecipitation=null, totalPrecipitationStatus=null, kindOfPrecipitation=null, snowLayerHeight=null)
ClimaticRecordBean(id=249180010, name=PSZCZYNA, year=2019, month=01, day=20, tmpMax=-4.6, tmpMaxStatus=, tmpMin=.0, tmpMinStatus=8, tmpAvg=.0, tmpAvgStatus=8, tmpOfGroundMin=3.7, tmpOfGroundMinStatus=, totalPrecipitation=null, totalPrecipitationStatus=null, kindOfPrecipitation=null, snowLayerHeight=null)
ClimaticRecordBean(id=249180010, name=PSZCZYNA, year=2019, month=01, day=21, tmpMax=-8.1, tmpMaxStatus=, tmpMin=.0, tmpMinStatus=8, tmpAvg=.0, tmpAvgStatus=8, tmpOfGroundMin=8.0, tmpOfGroundMinStatus=, totalPrecipitation=null, totalPrecipitationStatus=null, kindOfPrecipitation=null, snowLayerHeight=null)
ClimaticRecordBean(id=249180010, name=PSZCZYNA, year=2019, month=01, day=22, tmpMax=-7.2, tmpMaxStatus=, tmpMin=.0, tmpMinStatus=8, tmpAvg=.0, tmpAvgStatus=8, tmpOfGroundMin=5.0, tmpOfGroundMinStatus=, totalPrecipitation=null, totalPrecipitationStatus=null, kindOfPrecipitation=null, snowLayerHeight=null)
ClimaticRecordBean(id=249180010, name=PSZCZYNA, year=2019, month=01, day=23, tmpMax=-6.0, tmpMaxStatus=, tmpMin=.0, tmpMinStatus=8, tmpAvg=.0, tmpAvgStatus=8, tmpOfGroundMin=8.0, tmpOfGroundMinStatus=, totalPrecipitation=null, totalPrecipitationStatus=null, kindOfPrecipitation=null, snowLayerHeight=null)
ClimaticRecordBean(id=249180010, name=PSZCZYNA, year=2019, month=01, day=24, tmpMax=-5.9, tmpMaxStatus=, tmpMin=.0, tmpMinStatus=8, tmpAvg=.0, tmpAvgStatus=8, tmpOfGroundMin=8.0, tmpOfGroundMinStatus=, totalPrecipitation=null, totalPrecipitationStatus=null, kindOfPrecipitation=null, snowLayerHeight=null)
ClimaticRecordBean(id=249180010, name=PSZCZYNA, year=2019, month=01, day=25, tmpMax=-5.2, tmpMaxStatus=, tmpMin=.0, tmpMinStatus=8, tmpAvg=.0, tmpAvgStatus=8, tmpOfGroundMin=8.0, tmpOfGroundMinStatus=, totalPrecipitation=null, totalPrecipitationStatus=null, kindOfPrecipitation=null, snowLayerHeight=null)
ClimaticRecordBean(id=249180010, name=PSZCZYNA, year=2019, month=01, day=26, tmpMax=-4.0, tmpMaxStatus=, tmpMin=.0, tmpMinStatus=8, tmpAvg=.0, tmpAvgStatus=8, tmpOfGroundMin=8.0, tmpOfGroundMinStatus=, totalPrecipitation=null, totalPrecipitationStatus=null, kindOfPrecipitation=null, snowLayerHeight=null)
ClimaticRecordBean(id=249180010, name=PSZCZYNA, year=2019, month=01, day=27, tmpMax=1.6, tmpMaxStatus=, tmpMin=.0, tmpMinStatus=8, tmpAvg=.0, tmpAvgStatus=8, tmpOfGroundMin=5.7, tmpOfGroundMinStatus=, totalPrecipitation=null, totalPrecipitationStatus=null, kindOfPrecipitation=null, snowLayerHeight=null)
